ArrayExpress_Sex_s	ArrayExpress_Species_s	ArrayExpress_StrainOrLine_s	AssemblyName_s	AvgSpotLen_l	BioSample_s	Center_Name_s	Experiment_s	InsertSize_l	Instrument_s	LibraryLayout_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Description_s	Sample_Name_s	Strain_s	sample_description_s	strain_s	Assay_Type_s	BioProject_s	Consent_s	LibrarySelection_s	LibrarySource_s	Platform_s	SRA_Study_s
female	Mus musculus	CBA/J	mm9	200	SAMEA1094239	SC	ERX067729	339	Illumina HiSeq 2000	PAIRED	3888059	2014-09-07	4149	2250	Mus musculus	2012-04-15	ERR089760	ERS076379	CBA/J	CBA_J-sc-2012-12-20T14:13:49Z-1278941	CBA/J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	WSB/EiJ	mm9	200	SAMEA1094238	SC	ERX067730	339	Illumina HiSeq 2000	PAIRED	3888060	2014-09-07	3840	2107	Mus musculus	2012-04-15	ERR089761	ERS076380	WSB/EiJ	WSB_EiJ-sc-2012-12-20T14:14:29Z-1278942	WSB/EiJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus castaneus	CAST/EiJ	mm9	200	SAMEA1094240	SC	ERX067731	339	Illumina HiSeq 2000	PAIRED	3888061	2014-09-07	3798	2129	Mus musculus castaneus	2012-04-15	ERR089762	ERS076381	CAST/EiJ	CAST_EiJ-sc-2012-12-20T14:15:17Z-1278943	CAST/EiJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	LP/J	mm9	200	SAMEA1094242	SC	ERX067732	339	Illumina HiSeq 2000	PAIRED	3888062	2014-09-07	3731	2027	Mus musculus	2012-04-15	ERR089763	ERS076382	LP/J	LP_J-sc-2012-12-20T14:15:58Z-1278944	LP/J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	C3H/HeJ	mm9	200	SAMEA1094241	SC	ERX067733	339	Illumina HiSeq 2000	PAIRED	3888055	2014-09-07	3680	1988	Mus musculus	2012-04-15	ERR089764	ERS076383	C3H/HeJ	C3H_HeJ-sc-2012-12-20T14:16:43Z-1278945	C3H/HeJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	C57BL/6NJ	mm9	200	SAMEA1094237	SC	ERX067734	339	Illumina HiSeq 2000	PAIRED	3888056	2014-09-07	3397	1796	Mus musculus	2012-04-15	ERR089765	ERS076384	C57BL/6NJ	C57BL_6NJ-sc-2012-12-20T14:17:30Z-1278946	C57BL/6NJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	DBA/2J	mm9	200	SAMEA1094243	SC	ERX067735	338	Illumina HiSeq 2000	PAIRED	3888057	2014-09-07	3877	1996	Mus musculus	2012-04-15	ERR089766	ERS075663	DBA/2J	Mus_musculus-sc-2012-12-20T11:42:32Z-1278939	DBA/2J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	CBA/J	mm9	200	SAMEA1094239	SC	ERX067737	338	Illumina HiSeq 2000	PAIRED	3888059	2014-09-07	4074	2090	Mus musculus	2012-04-15	ERR089768	ERS076379	CBA/J	CBA_J-sc-2012-12-20T14:13:49Z-1278941	CBA/J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	LP/J	mm9	200	SAMEA1094242	SC	ERX067740	338	Illumina HiSeq 2000	PAIRED	3888062	2014-09-07	3662	1883	Mus musculus	2012-04-15	ERR089771	ERS076382	LP/J	LP_J-sc-2012-12-20T14:15:58Z-1278944	LP/J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	C3H/HeJ	mm9	200	SAMEA1094241	SC	ERX067741	338	Illumina HiSeq 2000	PAIRED	3888055	2014-09-07	3605	1842	Mus musculus	2012-04-15	ERR089772	ERS076383	C3H/HeJ	C3H_HeJ-sc-2012-12-20T14:16:43Z-1278945	C3H/HeJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	C57BL/6NJ	mm9	200	SAMEA1094237	SC	ERX067742	338	Illumina HiSeq 2000	PAIRED	3888056	2014-09-07	3335	1659	Mus musculus	2012-04-15	ERR089773	ERS076384	C57BL/6NJ	C57BL_6NJ-sc-2012-12-20T14:17:30Z-1278946	C57BL/6NJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	DBA/2J	mm9	200	SAMEA1094243	SC	ERX067743	336	Illumina HiSeq 2000	PAIRED	3888057	2014-09-07	4489	2365	Mus musculus	2012-04-15	ERR089774	ERS075663	DBA/2J	Mus_musculus-sc-2012-12-20T11:42:32Z-1278939	DBA/2J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus musculus	PWK/PhJ	mm9	200	SAMEA1094244	SC	ERX067744	336	Illumina HiSeq 2000	PAIRED	3888058	2014-09-07	4347	2359	Mus musculus musculus	2012-04-15	ERR089775	ERS076378	PWK/PhJ	PWK_PhJ-sc-2012-12-20T14:12:56Z-1278940	PWK/PhJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	CBA/J	mm9	200	SAMEA1094239	SC	ERX067745	336	Illumina HiSeq 2000	PAIRED	3888059	2014-09-07	4724	2481	Mus musculus	2012-04-15	ERR089776	ERS076379	CBA/J	CBA_J-sc-2012-12-20T14:13:49Z-1278941	CBA/J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	WSB/EiJ	mm9	200	SAMEA1094238	SC	ERX067746	336	Illumina HiSeq 2000	PAIRED	3888060	2014-09-07	4364	2325	Mus musculus	2012-04-15	ERR089777	ERS076380	WSB/EiJ	WSB_EiJ-sc-2012-12-20T14:14:29Z-1278942	WSB/EiJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus castaneus	CAST/EiJ	mm9	200	SAMEA1094240	SC	ERX067747	336	Illumina HiSeq 2000	PAIRED	3888061	2014-09-07	4318	2353	Mus musculus castaneus	2012-04-15	ERR089778	ERS076381	CAST/EiJ	CAST_EiJ-sc-2012-12-20T14:15:17Z-1278943	CAST/EiJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	DBA/2J	mm9	200	SAMEA1094243	SC	ERX067751	339	Illumina HiSeq 2000	PAIRED	3888057	2014-09-07	3945	2083	Mus musculus	2012-04-15	ERR089782	ERS075663	DBA/2J	Mus_musculus-sc-2012-12-20T11:42:32Z-1278939	DBA/2J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus musculus	PWK/PhJ	mm9	200	SAMEA1094244	SC	ERX067752	339	Illumina HiSeq 2000	PAIRED	3888058	2014-09-07	3817	2078	Mus musculus musculus	2012-04-15	ERR089783	ERS076378	PWK/PhJ	PWK_PhJ-sc-2012-12-20T14:12:56Z-1278940	PWK/PhJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	CBA/J	mm9	200	SAMEA1094239	SC	ERX067753	339	Illumina HiSeq 2000	PAIRED	3888059	2014-09-07	4148	2183	Mus musculus	2012-04-15	ERR089784	ERS076379	CBA/J	CBA_J-sc-2012-12-20T14:13:49Z-1278941	CBA/J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	WSB/EiJ	mm9	200	SAMEA1094238	SC	ERX067754	339	Illumina HiSeq 2000	PAIRED	3888060	2014-09-07	3835	2047	Mus musculus	2012-04-15	ERR089785	ERS076380	WSB/EiJ	WSB_EiJ-sc-2012-12-20T14:14:29Z-1278942	WSB/EiJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	C57BL/6NJ	mm9	200	SAMEA1094237	SC	ERX067758	339	Illumina HiSeq 2000	PAIRED	3888056	2014-09-07	3393	1735	Mus musculus	2012-04-15	ERR089789	ERS076384	C57BL/6NJ	C57BL_6NJ-sc-2012-12-20T14:17:30Z-1278946	C57BL/6NJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus musculus	PWK/PhJ	mm9	200	SAMEA1094244	SC	ERX067728	339	Illumina HiSeq 2000	PAIRED	3888058	2014-09-07	3823	2134	Mus musculus musculus	2012-04-15	ERR089759	ERS076378	PWK/PhJ	PWK_PhJ-sc-2012-12-20T14:12:56Z-1278940	PWK/PhJ			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
female	Mus musculus	DBA/2J	mm9	200	SAMEA1094243	SC	ERX067727	339	Illumina HiSeq 2000	PAIRED	3888057	2014-09-07	3952	2149	Mus musculus	2012-04-15	ERR089758	ERS075663	DBA/2J	Mus_musculus-sc-2012-12-20T11:42:32Z-1278939	DBA/2J			WGS	PRJEB2695	public	RANDOM	GENOMIC	ILLUMINA	ERP000927
